"gene","module","MM","GS","absMM","absGS"
"MEP1A","blue",0.855385318768761,-0.671865196126327,0.855385318768761,0.671865196126327
"SLC2A13","blue",0.855115115627889,-0.714309657019713,0.855115115627889,0.714309657019713
"SLC44A4","blue",0.854919014709919,-0.55322888481816,0.854919014709919,0.55322888481816
"AMN","blue",0.854698500260349,-0.629855067573006,0.854698500260349,0.629855067573006
"NAPEPLD","blue",0.854589237681255,-0.628873358038912,0.854589237681255,0.628873358038912
"PAPSS2","blue",0.854326236986102,-0.668055720489865,0.854326236986102,0.668055720489865
"CDC14A","blue",0.854059425161185,-0.756596131234863,0.854059425161185,0.756596131234863
"GALNT7","blue",0.853910515873846,-0.611222538065893,0.853910515873846,0.611222538065893
"PLCD3","blue",0.853262325875895,-0.701204043415768,0.853262325875895,0.701204043415768
"FAM83E","blue",0.852976134888124,-0.55986972595278,0.852976134888124,0.55986972595278
"VSIG10","blue",0.85290766048166,-0.546092158970234,0.85290766048166,0.546092158970234
"HIGD1A","blue",0.852714475442586,-0.63439331512991,0.852714475442586,0.63439331512991
"PACSIN2","blue",0.852523592146993,-0.700795331945686,0.852523592146993,0.700795331945686
"PIGZ","blue",0.851803600826778,-0.691108836596008,0.851803600826778,0.691108836596008
"RIPK3","blue",0.851692706042571,-0.631804202061058,0.851692706042571,0.631804202061058
"C15orf38-AP3S2","blue",0.851250666055929,-0.745140930424442,0.851250666055929,0.745140930424442
"TP53I3","blue",0.85095875269843,-0.784472870921868,0.85095875269843,0.784472870921868
"CCL15","blue",0.85083756030675,-0.606520158713827,0.85083756030675,0.606520158713827
"LPCAT4","blue",0.850541777371179,-0.702084075115061,0.850541777371179,0.702084075115061
"TMCC3","blue",0.850133209715533,-0.691169841543815,0.850133209715533,0.691169841543815
"SEMA6D","blue",0.84933229005086,-0.76304393952522,0.84933229005086,0.76304393952522
"FAM118B","blue",0.849199320007445,-0.675716586602053,0.849199320007445,0.675716586602053
"KCTD9","blue",0.849164853455093,-0.747688505234402,0.849164853455093,0.747688505234402
"B3GNT7","blue",0.849026073306902,-0.711336533927436,0.849026073306902,0.711336533927436
"SLC9A1","blue",0.848814662002307,-0.742291906480708,0.848814662002307,0.742291906480708
"GIPC1","blue",0.848717865081745,-0.675898430358842,0.848717865081745,0.675898430358842
"NHEJ1","blue",0.848206232676245,-0.589809205038656,0.848206232676245,0.589809205038656
"B4GALNT3","blue",0.848012067848003,-0.595481902585847,0.848012067848003,0.595481902585847
"DENND1C","blue",0.847722317347555,-0.596531547221906,0.847722317347555,0.596531547221906
"CDC42BPG","blue",0.847425763724962,-0.578047408442478,0.847425763724962,0.578047408442478
"LGALS2","blue",0.847337284327725,-0.691528785325416,0.847337284327725,0.691528785325416
"XRCC6BP1","blue",0.847148354145011,-0.607028852523535,0.847148354145011,0.607028852523535
"MINK1","blue",0.846256264002116,-0.620360364785427,0.846256264002116,0.620360364785427
"CALCOCO2","blue",0.845917844495475,-0.641342391173108,0.845917844495475,0.641342391173108
"RAPGEFL1","blue",0.845742575770174,-0.572958626798566,0.845742575770174,0.572958626798566
"GPBP1L1","blue",0.845599229074163,-0.57107327148757,0.845599229074163,0.57107327148757
"RAVER2","blue",0.845457259414193,-0.653450675373218,0.845457259414193,0.653450675373218
"ABCC13","blue",0.8451951052928,-0.616513216351901,0.8451951052928,0.616513216351901
"PTK2B","blue",0.844891910105538,-0.720095826209421,0.844891910105538,0.720095826209421
"FXYD3","blue",0.844838441002207,-0.530911184553208,0.844838441002207,0.530911184553208
"USP2","blue",0.84467223342213,-0.73974923243305,0.84467223342213,0.73974923243305
"ISX","blue",0.844624242095711,-0.619879224744858,0.844624242095711,0.619879224744858
"GCNT3","blue",0.844508826244964,-0.659041468783626,0.844508826244964,0.659041468783626
"FAM132A","blue",0.844332653442827,-0.732160491259649,0.844332653442827,0.732160491259649
