"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"MCC",0.0266194098021372,0.937022851195081,0.183375215033105,0.855187121960096,0.955523015470527,-6.66222755981174,"MCC","NS"
"RNF170",0.0230746954173591,3.04038648936087,0.183297794814627,0.855247567272878,0.955523015470527,-6.66224178256369,"RNF170","NS"
"LOC100861402",0.0372788597654594,4.71696830482612,0.183295745135764,0.855249167557674,0.955523015470527,-6.66224215902561,"LOC100861402","NS"
"AP5S1",-0.0235721956258752,2.67801866850944,-0.183275051113935,0.855265324429539,0.955523015470527,-6.66224595963483,"AP5S1","NS"
"COPS8",0.0181078809180324,3.79808669337814,0.182924444534621,0.855539070233187,0.955748938755609,-6.66231028596977,"COPS8","NS"
"STT3A",-0.0223148187469713,5.81684274818937,-0.182666175567173,0.855740732319169,0.95589430406694,-6.6623575922914,"STT3A","NS"
"WASH7P",0.0441291681312199,3.13779135694753,0.182246570125744,0.856068390110423,0.955994385256199,-6.66243430778059,"WASH7P","NS"
"SH3D21",0.0518996638163394,2.21755344311407,0.182172401671003,0.856126308772335,0.955994385256199,-6.6624478495014,"SH3D21","NS"
"MPEG1",0.0532146476690993,3.69964156411135,0.182080583847167,0.856198011052599,0.955994385256199,-6.66246460602827,"MPEG1","NS"
"SEPT7P2",-0.0145245524142157,1.53359901849889,-0.182014624694459,0.856249520559176,0.955994385256199,-6.66247663820375,"SEPT7P2","NS"
"GNB4",0.0327176149055917,2.22800818349204,0.181951838956482,0.856298552434484,0.955994385256199,-6.6624880874445,"GNB4","NS"
