"gene","HR","z","p","lower","upper"
"B4GALNT2",0.909409388791463,-0.797103344605757,0.425391014068271,0.720036868343064,1.14858762486038
"RIMKLA",0.824735170736467,-0.787826260715689,0.430798338133885,0.510646928982934,1.33201251832544
"BRPF3",1.18782946138804,0.780938969160964,0.434838390902205,0.771151625004874,1.82965163217089
"MMP28",1.08301782717986,0.780057874447031,0.435356810458652,0.886360924768575,1.32330699742392
"CNNM4",1.17303525346674,0.779936982972216,0.435427968539543,0.785477824529926,1.75181483538287
"HOXD1",1.31140348614138,0.777764656499311,0.436707767458323,0.662279358003661,2.59675782233008
"PAPSS2",0.928256363418421,-0.777138318545598,0.437077168659979,0.769352886794356,1.1199800390911
"CDHR5",0.936430597712317,-0.776233370890097,0.437611205745947,0.79332730803644,1.10534738366975
"DDX60",0.906011969075729,-0.772027908211094,0.44009789832634,0.705194516884959,1.16401598205051
"FAM162A",0.870460200771456,-0.760393254310215,0.447019554281637,0.608762324528887,1.24465810480873
"SMPDL3B",0.904661735572138,-0.760311045813173,0.44706868083146,0.698738136328777,1.17127263170205
"VIPR1",0.9058866596624,-0.749098602134494,0.453797777508392,0.699456384448413,1.17324061714219
"C6orf136",1.18179851459842,0.747448326812964,0.454792983182164,0.762639944599041,1.83133304123129
"SELENBP1",0.950428183334371,-0.743487907399958,0.457186340060827,0.831209963300814,1.08674555354116
"GBA2",1.17622972509467,0.740032622123599,0.459280200163078,0.765235083089434,1.80796254219122
"SCARA5",0.889479269198655,-0.734438962640528,0.462681247643194,0.650724152022023,1.21583526272342
"AHCYL2",0.924106798358771,-0.731982949394835,0.464178974876986,0.748065340293701,1.1415759142612
"PITPNM3",0.876997693956958,-0.728905871492855,0.466059242949592,0.616206513450529,1.24816102786549
"PAQR5",0.893700258179347,-0.727781087736563,0.466747603385388,0.660310654126341,1.20958240864157
"FAM120AOS",1.25484340359634,0.725983319465245,0.467848996406306,0.679866638555621,2.31608947733418
"CLIC5",0.910469560645991,-0.715987573587606,0.473999021926895,0.704299704021077,1.1769915791958
"MOGAT2",0.941346766607348,-0.71137848525311,0.476849727573732,0.796939935277701,1.11192035406449
"BARX2",1.08067682288003,0.702811530245571,0.482173210659182,0.870415570002564,1.34172967000881
"SCNN1B",0.931602638576393,-0.701775940007587,0.482818905623566,0.764357095173028,1.13544242826193
"CDC42EP5",0.943682849076503,-0.701550366779137,0.482959613775412,0.802594350713577,1.1095733714664
"WNT2B",0.765849909108865,-0.69346962468687,0.488014881759026,0.36032724757285,1.62775945264443
"APOBR",0.937550334499999,-0.686398630631546,0.492461767765452,0.779878744363509,1.12709909851236
"ERBB2",1.08344041527254,0.671889502862248,0.501654043548693,0.857581742095293,1.36878279448667
"SLC9A2",0.931689401583753,-0.671365178358037,0.501987922255661,0.757813362722527,1.14546032535629
"TLN2",1.13185192630355,0.670735594787846,0.502388983012342,0.788152723513571,1.62543215909475
"THAP4",1.1789205918691,0.66129818331707,0.508421106292312,0.723798573389513,1.92022174819216
"CD164",0.885070963167331,-0.659494650095095,0.509578180401864,0.615745626590737,1.27219841443163
"SPIB",0.880157529502854,-0.638558362190913,0.523110275667569,0.594834946579701,1.30233988637514
"SHROOM3",0.881263252026672,-0.628348017191165,0.529775982482643,0.594124437838578,1.30717551730069
"GLTP",0.848457346852716,-0.628320528812661,0.529793986051058,0.508160201530795,1.41663960943766
"TEP1",1.14074200315402,0.624998767993396,0.531971866690673,0.754832490027625,1.72394847194801
"DOK4",0.907204204630038,-0.62238702108672,0.533687412645035,0.667595960600209,1.23281073803753
"SIPA1L3",1.14009822401396,0.616829181063743,0.537347402233252,0.751638816786225,1.72931989590085
"LGALS9C",0.908082077666047,-0.615151373782573,0.538454757261936,0.66789077338055,1.2346525699172
"P2RX4",0.881068039059039,-0.615066192768727,0.538511007361233,0.588541489473544,1.31899093493941
"DHRS11",0.924376680635854,-0.611753325244758,0.5407009749229,0.718512528122221,1.18922386772637
"CDKN2B",1.07492738539267,0.605281967855942,0.544991660675813,0.850688089099774,1.35827561085271
"SLC17A4",0.912690741382562,-0.602722324291498,0.54669342779642,0.678112887082148,1.22841551203928
"EPHA10",0.893878855894991,-0.598618782851842,0.549427127811776,0.619096010063886,1.29062277260305
"GNPTAB",0.875276746534582,-0.598532746176614,0.549484515846982,0.565840267909289,1.35393224284805
"PTGER4",0.921790600641569,-0.596268504657094,0.550995867808851,0.70530476852948,1.20472446713031
"ZZEF1",0.886325850547948,-0.591794732661974,0.553988050820615,0.594330664994791,1.32177853107483
"IL1R2",0.945642132198588,-0.587931161128671,0.556578499554707,0.784888932809035,1.13931921423418
"MYO1A",0.945522155722651,-0.586334665526933,0.557650639957726,0.784058695685871,1.14023625001742
"CDKL1",0.785694100279622,-0.58203596407268,0.560542456566106,0.348760432514575,1.77002653300817
"GCG",0.907037828407111,-0.581269719287676,0.561058685479859,0.652745518296137,1.26039566584697
