"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"PYGL",0.461644333296114,3.20213005887504,1.50093498715239,0.139169293458415,0.205571423692459,-5.73422693537092,"PYGL","NS"
"FUT10",-0.149245889711304,1.317450205684,-1.50092947816382,0.139170715366111,0.205571423692459,-5.73423492725589,"FUT10","NS"
"RORA",0.240793964125661,1.10125736359779,1.50077884986223,0.1392095980176,0.205606128961112,-5.7344534331536,"RORA","NS"
"APOBEC3G",-0.275667316521638,1.97904438670471,-1.50063710944483,0.139246194232531,0.20563744997072,-5.73465902760979,"APOBEC3G","NS"
"TPI1",0.177297111351917,8.26662359238582,1.50038003204523,0.139312588936496,0.20571276531876,-5.73503187278847,"TPI1","NS"
"VAMP4",-0.117894565242406,2.24674686612038,-1.50014899682827,0.139372279163959,0.205778165103737,-5.73536689829153,"VAMP4","NS"
"TSC1",-0.125992307374725,2.12462668158633,-1.4991773754242,0.139623528660157,0.206126349569883,-5.73677533284689,"TSC1","NS"
"HMGCR",-0.235190954087864,4.48563050934538,-1.49879806867903,0.139721709962415,0.206248492560049,-5.73732493731786,"HMGCR","NS"
"C4orf48",0.483747815173713,4.46406549761164,1.49873849431232,0.13973713539486,0.206248492560049,-5.7374112472267,"C4orf48","NS"
"DDHD1",-0.097697464766613,1.06420051121186,-1.49845091799377,0.139811615712286,0.206320519869343,-5.73782783650502,"DDHD1","NS"
"FGFR3",-0.383424418849278,3.33253328697282,-1.49843084018926,0.139816816899932,0.206320519869343,-5.73785691890163,"FGFR3","NS"
"OSTM1",-0.171056577730819,2.88495001147662,-1.49756551307319,0.140041126746647,0.206628703134795,-5.73910999160213,"OSTM1","NS"
"EEA1",0.136044437245465,2.52658656326137,1.49734947262241,0.140097173058276,0.206688575290349,-5.73942273405781,"EEA1","NS"
"IL2RB",-0.305020564935068,2.15450437560689,-1.49728686991064,0.140113417085836,0.206689719485641,-5.73951335065491,"IL2RB","NS"
"SNX21",-0.188405185111061,2.29654151124265,-1.49663885242542,0.14028165088485,0.206915047921776,-5.74045114266722,"SNX21","NS"
"YWHAE",0.169809100705705,7.56502558542322,1.49474661443899,0.140773814658857,0.207618069698857,-5.74318739703537,"YWHAE","NS"
"LUST",-0.235073051336924,1.84038168094378,-1.49450829469212,0.140835897336273,0.207686707891765,-5.74353179144118,"LUST","NS"
"COPS2",0.175709772023256,3.80760603081271,1.4943366425462,0.140880626398162,0.207729157895322,-5.74377981360619,"COPS2","NS"
"PON2",0.20545446220271,5.40594480718984,1.49427851449192,0.140895775932144,0.207729157895322,-5.74386379756139,"PON2","NS"
"NUP214",0.12613148456832,3.14057887384536,1.4940771382187,0.140948269265535,0.20776776276794,-5.74415472463627,"NUP214","NS"
"FTSJ3",0.133577651465695,3.62314697538755,1.49405876806372,0.140953058635786,0.20776776276794,-5.74418126209171,"FTSJ3","NS"
"WRB",0.185698872440227,3.5577879492577,1.49350334505511,0.141097926329486,0.207958359983961,-5.74498348227925,"WRB","NS"
